[0] Note: All times listed are in seconds since the start of the game!
[0] Some times (such as this message) may be the same. This means both happened within the same frame in Unity.
[12.2] Hook Received -> [IsEmptyHook: input= ]
[12.22] Hook Received -> [IsEmptyHook: input= ]
[12.24] Hook Received -> [IsEmptyHook: input= ]
[12.26] Hook Received -> [IsEmptyHook: input= ]
[12.28] Hook Received -> [IsEmptyHook: input= ]
[12.3] Hook Received -> [IsEmptyHook: input= ]
[12.32] Hook Received -> [IsEmptyHook: input= ]
[12.34] Hook Received -> [IsEmptyHook: input= ]
[12.36] Hook Received -> [IsEmptyHook: input= ]
[12.38] Hook Received -> [IsEmptyHook: input= ]
[12.4] Hook Received -> [IsEmptyHook: input= ]
[12.42] Hook Received -> [IsEmptyHook: input= ]
[12.44] Hook Received -> [IsEmptyHook: input= ]
[12.46] Hook Received -> [IsEmptyHook: input= ]
[12.48] Hook Received -> [IsEmptyHook: input= ]
[12.5] Hook Received -> [IsEmptyHook: input= ]
[12.52] Hook Received -> [IsEmptyHook: input= ]
[12.54] Hook Received -> [IsEmptyHook: input= ]
[12.56] Hook Received -> [IsEmptyHook: input= ]
[12.58] Hook Received -> [IsEmptyHook: input= ]
[12.6] Hook Received -> [IsEmptyHook: input= ]
[12.62] Hook Received -> [IsEmptyHook: input= ]
[12.64] Hook Received -> [IsEmptyHook: input= ]
[12.66] Hook Received -> [IsEmptyHook: input= ]
[12.68] Hook Received -> [IsEmptyHook: input= ]
[12.7] Hook Received -> [IsEmptyHook: input= ]
[12.72] Hook Received -> [IsEmptyHook: input= ]
[12.74] Hook Received -> [IsEmptyHook: input= ]
[12.76] Hook Received -> [IsEmptyHook: input= ]
[12.78] Hook Received -> [IsEmptyHook: input= ]
[12.8] Hook Received -> [IsEmptyHook: input= ]
[12.82] Hook Received -> [IsEmptyHook: input= ]
[12.84] Hook Received -> [IsEmptyHook: input= ]
[12.86] Hook Received -> [IsEmptyHook: input= ]
[12.88] Hook Received -> [IsEmptyHook: input= ]
[12.9] Hook Received -> [IsEmptyHook: input= ]
[12.92] Hook Received -> [IsEmptyHook: input= ]
[12.94] Hook Received -> [IsEmptyHook: input= ]
[12.96] Hook Received -> [IsEmptyHook: input= ]
[12.98] Hook Received -> [IsEmptyHook: input= ]
[13] Hook Received -> [IsEmptyHook: input= ]
[13.02] Hook Received -> [IsEmptyHook: input= ]
[13.04] Hook Received -> [IsEmptyHook: input= ]
[13.06] Hook Received -> [IsEmptyHook: input= ]
[13.08] Hook Received -> [IsEmptyHook: input= ]
[13.1] Hook Received -> [IsEmptyHook: input= ]
[13.12] Hook Received -> [IsEmptyHook: input= ]
[13.14] Hook Received -> [IsEmptyHook: input= ]
[13.16] Hook Received -> [IsEmptyHook: input= ]
[13.18] Hook Received -> [IsEmptyHook: input= ]
[13.2] Hook Received -> [IsEmptyHook: input= ]
